PCID	Name	Manufacturer	URL	Source	CompositionInfo	ManufacturerInfo	ImportantInfo	ObservationsInitial	Oil?	Oil2?	ObservationsColourTranslucency	Opacity	Resistance	Stringiness	ObservationsGrinding	Details	Shape	Scratching	Smoothness	Impasto	Grittiness	ObservationsApplication	ColourIntensity	Glossiness	HidingPower	TintingStrength	ObservationsMixingLW	ObservationsApplicationLW	ObservationsDrying	DryingSpeed	DryOn	ObservationsWrinkling	HistoricalReferences	OtherPigmentCheckers	PigmentSampled		
5A4	English red light	40542	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1311/english-red-light?number=40542	TAH	"mixed red earth, orange, burnt"	Natural inorganic pigment. Fe2O3 + CaCO3			13	0.5	Bright reddish	4	3	4	"dries quickly during grinding, you do not hear any particles, sticks to the muller "	2	2	2	2	2		"it is not spreading very well, it dries very very fast"	5	4	4	4	"easiy to mix, starts 'marbely' colour is not completely the same at all the parts- "	"really smooth, easily  applied, opac, less shiniy little difference between dark and light, side. dries during application brush marks are remaining no matter how much you brush it out"	"very opaque hides the underdrawing, more pinkish hue. shiny. "			Imbibed some dust. Particles visible on thick side		HSI	Y		
5A5	Ocre jaune JFLES	"Vaucluse n27, Okhra. T2700040A"	http://okhra.com/shop/ocre-pigment-jaune/57-ocre-jaune-jfles.html	TAH	"Natural mineral pigment, the most fine ochre from Vaucluse"	"L'ocre jaune JFLES est un pigment naturel d'origine minérale. La plus fine des ocres jaunes de Vaucluse, ce pigment jaune foncé est une ocre lumineuse et chaleureuse. L'ocre jaune JFLES est utilisable sans restriction dans toutes les techniques d'enduits et de peintures artistiques et décoratives."			8		warm light brown	3	2	1	"very smooth, didn't require much grinding"	4	4	4	3	2	2		4	3	2	3	beautiful smooth paint								Y		
5A6	Ocre Havane	"Vaucluse n28, Okhra. T2800040A"	http://okhra.com/shop/ocres-et-pigments-rouge-et-orange/59-ocre-havane.html	TAH	"Natural mineral pigment, the only orange ochre from Vaucluse"	"L'ocre havane est un pigment naturel d'origine minérale. Ce pigment ocre havane, référencé T28, est la seule teinte orange des ocres du Vaucluse. Couleur chaude et lumineuse, elle est utilisable sans restriction dans toutes les techniques d'enduits et de peintures décoratives et artistiques."			7		light reddish brown	2	2	1	very smootg. may have added too much oil	4	3	2	3	2	2		4	3	2	2	smooth paint	Brushstrokes visible during application but paint feels smooth							Y		
5B1	"Raw umber, dark"	40660	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1326/raw-umber-dark?number=40660	UvA	"brown slightly greenish, from Cyprus"	Natural brown umber. Pigment Brown 8 (CAS-Nr. 1309-37-1)			19	1.5	Changed from grenish brown to very brown with a green tint	4	4	3	After quite some grinding there are still sounds from the grinding	2	5	5	1	5	4	Fairly think paint	2	3	4	3	Less gritty	"The lead white shows the colour of the original pigment more, going to a more greenish tint"				"Glossy where thickest, even when dry"			Y		
5B2	Raw umber (Cyprus)	40610	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1314/raw-umber?number=40610	TAH	Natural brown umber from Cyprus	"Pigment Brown 8, C.I. 77727"		sandy - grainy korrelig (granular)	10	0.4	like chocolat dark 70 % 	2	2	3	"sticks no sound, don't hear particles similar to red ocher english dries very quickly "	2	5	5	3	4	1	"dries fast- to keep it the same consistency you could add oil, although we choose not to for the unmix, but we added 1,5 drops before mixing it with lead white. "	5	3	5	2	very easily consistant colour	"very easy very opaque, covers very well only little glos, the brush strokes are visible but not to much viscose, not a lot of differnce between dark and light side-  also fahed tried gradience, but mostly not different because of opaque ness. "				Some gritty particles visible 		CHS 40610	N		
5B3	Burnt umber (Cyprus)	40710	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1332/burnt-umber-brownish?number=40710	TAH	Natural brown earth from Cyprus	"Natural brown earth, contains manganese oxides. Pigment Brown 8, C.I. 77727"			23	1	Very dark chocolate	4	2	4	Smooth. Very clear when it's done	4	4	5	2	4	1		4	4	5	4	"More supple, less sticky"	Becomes milk coloured chocolate				Very glossy and 'plastic'-looking with visible brushtrokes			Y		
5B4	Burnt umber light reddish-brown (Cyprus)	40730	http://www.kremer-pigmente.com/en/pigments/earth-pigments/1339/burnt-umber-light-reddish-brown	UvA reconstructions cupboard	"natural earth, contains manganese oxides "	see: http://www.kremer-pigmente.com/media/pdf/40730MSDS.pdf		"grainy pigment, clumps together in jar"	18	0.7	rather opaque	4	2	4	"colour changed significantly from the pigment, became much darker."	5	2	2	4	2	2	n/a	5	5	4	3	"somewhat difficult to mix, lead white seems to be prone to separating from the brown paint"	feels a bit more heavy when painting in comparison to the unmixed paint	the part that was applied more thinly seems to become more streaky (less uniform) than the unmixed thinly applied paint when drying 			Partiles polking through smooth layer 			Y		
5B5	Burnt umber reddish (Italian)	40700	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1327/burnt-umber-reddish?number=40700	UvA	Italian burnt umber	PBr 8.77727			19	0.7	From rusty brown before adding oil to purple-ish-brown and later nutella 	4	2	1	"colour changed significantly from the pigment, became much darker. "	2	4	5	1	5	1	A lot of paint needed to get a covering paint because it feels pretty dry	4	3	3	4	Feels more supple	Much smoother	Hiding power increased 			Glossy with some brushtrokes			Y		
5C1	Raw sienna	40400	http://www.kremer-pigmente.com/de/terra-di-siena-natur-italienisch-40400.html	UvA	"terra di siena, italian, natural yellow earth."	"Purified natural yellow earth from Italy. Pigment Yellow 43, C.I. 77492. Lightfastness: 8, insoluble in water. http://www.kremer-pigmente.com/media/pdf/40400_MSDS.pdf"		sandy	17	0.5	babypoo	3	5	4	"The paint is much darker than the pigment. Resistance of muller, but easy to grind"	5	5	3	2	2	1	it is fairly easy to apply it thicker and thinner	4	3	4	1	"Changes colour significantly (lighter), felt gritty"	"A lot easier to apply the paint, flows better but the brush strokes are still visible "				Smooth with a few particles poking through		HSI	Y		
5C2	Burnt sienna	40430	http://www.kremer-pigmente.com/en/pigments/earth-pigments/1291/dark-burnt-sienna	UvA		Italian burnt Sienna is prepared by calcining raw sienna. C.I.: Pigment Brown 7			17	0.4	"Pretty intense colour. Pretty red before adding oil, after maroon-brown. Very dark"	4	4	3	Started very gritty	3	5	5	2	4	4	Very difficult to apply thinly	3	3	5	4	Paint felt like it got more body	Still difficult to make a light and dark distinction				Glossy with visible brushtrokes		CHS	Y		
5C3	Venetian red	40510	http://www.kremer-pigmente.com/de/venetianischrot-40510.html	UvA	"Natural red earth from Italy. Pigment Red 102, C.I. 77491"	" Venetian Red from this particular region can be used for the production of Cinabrese, a term for fresh tone color in early Renaissance painting in Florence."		"reddish brown, clumps together slightly"	10	0.5	opaque reddish-brown	5	2	1	"Really smooth right away, particles look dispersed immediately"	4	2	2	2	1	1	Easy to apply thickly or thinly 	4	5	5	2	smooth like butter	"super smooth, has body, easy to paint with. still good hiding power even applied thinly"				Smooth with a few particles poking through		HSI	Y		
5C4	Ocre rouge RFL	"Vaucluse n30, Okhra.  T3000040A"	http://okhra.com/shop/ocres-et-pigments-rouge-et-orange/61-ocre-rouge-rfl.html	TAH	Natural mineral pigment from Apt	"L'ocre rouge RFL est un pigment naturel d'origine minérale. Cette ocre, de couleur rouge foncé, est celle qui virera le moins vers le rose en badigeon de chaux parce qu'elle est la plus orangée des ocres rouges produites à Apt. Elle est utilisable dans toutes les peintures artistiques et décoratives."		intemse red brown	7		opaque reddish-brown	4	3	1	"Gritty, even after grinding, but made a well disperse paint"	3	3	1	2	2	3	paint was gritty. it seeed sticky; when applying small dots they joined together. Scratch disappered immediately	4	3	4	4	smooth like butter	good hiding power when applied thickly							Y		
5C5	Ocre marron	"Vaucluse n29, Okhra. T2900040A"	http://okhra.com/shop/ocres-et-pigments-brun/60-ocre-marron.html	TAH	Natural mineral pigment	L'ocre marron est un pigment naturel d'origine minérale. Ce pigment marron clair est d'une teinte chaleureuse et lumineuse. L'ocre marron référencée T29 est comme toutes les ocres utilisables sans restriction dans toutes les techniques d'enduits et de peintures décoratives et artistiques.			10	0.4	dark brown	4	3	1	Started a little gritty but became smooth	3	3	2	3	3	2		4	3	4	4	smooth								Y		
5C6	Van Dyck Brown / Kasslerbraun	41000	http://www.kremer-pigmente.com/de/kasslerbraun-41000.html	UvA	organic pigment made from brown coal	"Cassel earth, dark Consists mainly of humic acids and iron oxide. Degradation processes: it fades on exposure to strong light and develops a cold, grey tone. "	n/a	very fine pigment	25	1.1	very dark and opaque	5	5	1	n/a	1	5		1	3	5		5	4	5	1	still gritty but paint becomes more supple during mixing with lead white	"feels more supple than without lead white, consistency more homogenous but pigment particles still visible, less gritty"	the part that was applied more thinly seems to become more streaky (less uniform) than the unmixed thinly applied paint when drying 			"Glossy and smooth. Some deformation in the layer. Feels a bit ""rubbery"" to the touch even though it has been drying for 1+ month."			Y		
6A1	"Raw Umber, greenish dark"	40630	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1322/raw-umber-greenish-dark?number=40630	TAH	German	"Pigment Yellow 42, Pigment Black 11, Calcium carbonate, substances containing iron oxide"		"smooth, like clay, but also crumby"	15	0.5	"quite opaque, dark green colour"	4	3	4	"grinds easily, good consistency, very fine"	5	4	2	3	1	1		4	3	5	3	"easy to mix, consistency even smoother than before"				Dry	A lot of wrinkling in the upper right		HSI 40800 / C2RMF / CHS	Y		
6A2	Green earth (Verona)	11000	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/92/verona-green-earth?number=11000	UvA	"0 - 120 µ, genuine earth pigment"	PG 23.77009		"clay like, darkens significantly when oil added, gums up whith the addition of oil but less so than Bohemian earth"	28	0.7	"somwhat opaque, and darkening but less than bohemian earth"	3	4	3	"became harder to grind as you ground it  still made sound of sand, more than Bohemian earth"	2	2	4	4	2	3	a bit stiff and sticks to the brush seems to suck up oil/dry quickly	2	3	2	1	became more smooth and maleabe improves paint qualities 	sandy structute like thin cement less opaque and easy to make a thin layer a little glossier than the pure paint		painted May 22	Dry	Uneven gloss due to different thicknesses		C2RMF 11000 / 11100 Bavarian / 11111 /  40810 / 40821 / 40830 / 41700 / 41750	Y		
6A3	Bohemian green earth	40810	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1341/bohemian-green-earth?number=40810	UvA	"Natural green earth. The contents vary according to the place of findings: Fe, Al, Si, K, Mg und Ca.Pigment Green 23. "	"genuine, brilliant hue, extra fine grinding"		clayish powder pigment	27	0.5	"turned from very light green to quite dark when adding oil, the oil seems to be sucked into the pigment and dissapears"	2	4	5	"can only mull in slowmotion, it obstructs speeding"	5	3	4	4	2	2	"easy to paint out, nice and smooth"	3	4	3	1	"mixed very well, became somewhat thicker and very opaque"	"high opacity and less smooth, brushstrokes are holding their place more"		painted May 22	Rubbery	Smooth glossy translucent film			Y		
6A4	Terre verte Nicosie (Chypre)	Okhra Chypre no.05C	http://okhra.com/shop/terres-et-pigments-vert/33-terre-verte-nicosie.html	TAH		"La terre verte Nicosie est un pigment naturel d'origine minérale provenant de Chypre. Composée de céladonite et de glauconie, la terre verte de Nicosie offre une jolie couleur vert bleutée et un pouvoir colorant supérieur à la terre verte Brentonico. La fabrication de la terre verte de Nicosie (Chypre) comprend une dépuration, un séchage puis un broyage.  Comme les autres, elle se marie parfaitement aux ocres et terres colorantes du monde. Pigment transparent compatible dans toutes les techniques artistiques et décoratives, elle est particulièrement appréciée en glacis à l'eau ou à l'huile."		clayish powder pigment	27		"colour darkened when adding oil, nice dark forest green with a blueish hint"	3	4	4	"can only mull in slowmotion, it obstructs speeding. a bit gritty sound when grinding which does not completely dissapear"	3	3	2	3	3	3	"sticky, holds to the brush. Features quite similar to the bohemian, makes a nice thick layer, but less easy to paint a thin layer"	4	3	4	2	"mixed very well, became somewhat thicker and very opaque (like bohemian green)"	"high opacity and less smooth, brushstrokes are holding their place more (behaviour similar to bohemian green)"		painted May 22	Dry	Smooth glossy opaque film			Y		
6A5	Terre verte prun 	Okhra Italie 05B	http://okhra.com/shop/terres-et-pigments-vert/32-terre-verte-prun.html	TAH		"La terre vert Prun est un pigment minéral naturel extrait en Italie. Comme les autres terres vertes, c'est une terre argileuse, à la fois épaisse transparente. D'une couleur vert clair tirant vers le ""vert olive"", elle est utilisable dans toutes les techniques de peintures artistiques et décoratives. Elle est particulièrement appréciée dans les glacis à l'eau ou à l'huile pour sa transparence.  La terre verte de Prun se trouve à S.Cristina (Vérone), dans des tufs basaltiques. Les variétés minéralogiques qui donnent la coloration de la terre verte sont constituées principalement de silicate hydraté de fer, magnésium…"		clayish powder pigment	44	1.1	colour darkened when adding oil	4	3	1	slight gritty sound in grinding	3	5	4	2	5	2	"quite thick could even had added more oil, can hold quite an impasto"	3	2	3	3	mixed very well became soft and smooth	not very opaque  comparted to others and nice to paint with			Dry				Y		
6A6	Green earth / terra verde	Verfmolen de Kat	https://www.verfmolendekat.com/en/bohemian-green-earth.html	UvA  		Ancient. A weathering product of a variety of minerals. Quarried in Bohemia. Can be mixed with all binders. Moderate colouring and coverage. Fairly resistant to fading. Does not withstand heat.		clayish powder pigment	48		darkened quite a lot when adding oil	4	3	1	"slight gritty sound in grinding, similar feel like the Terre verte prun"	2	5	4	2	4	2	"quite thick, may have needed more oil (like 6A5), not stringy, can hold quite an impasto"	3	1	3	3	mixed very well became soft and smooth	"nice and smooth to paint, very opaque"			Dry				Y 		
6B1	Malachite natural	10300		TAH		kremer malachite natural standard		very fine powder pigment	25	0.7	"opaque, shiny, saturated green"	4	4	1	fine powder but stays really coarse when grinding	2	4	2	1	1	1	"heavy, grains visible in the paint, need a lot of paint to cover the surface, move paint around while applying brushstrokes."	4	4	2	2	"structure improves, easy to mix"	"covers more easy, application much easier, still quite thick"			Dry				Y		
6B2	malachite natural (fine)	10310 (fine) 		UvA reconstructions cupboard		kremer malachite natural standard		quite fine and soft powder	15	0.4	"runny, very easy grinding, no sound slippery"	4	1	3	"easyiest to grind, move the muller with one finger!"	3	1	1	4	1	4	smooth but grains still visible	4	2	3	2	"easy to mix, and makes paint a little thicker"	coverage is good easy to apply still has some transparency over underdrawing			Dry			C2RMF			
6B3	malachite synthetic (green verditer?)	44400	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/1453/malachite-synthetic?number=44400			CuCO3*Cu(OH)2 (basic copper carbonate with approx. 55 % Cu)		light in colour	22	0.8	"adding oil, makes colour change to light blueish green"	4	1	5	"easy to grind, do not see/hear pigment particles"	4	4	2	5	2	2	"very smooth paint, better than natural malachite"	5	5	4	4	"slightly difficult to mix, but good blend in the end. "	"Leaves more of a brushstroke then before mixing, similar covering strength as before mixing"			Rubbery	"small dots that appear like ""orange peeling"". Has imbibed dust"		C2RMF 10345	Y		
6B4	Malachite: Mayerne recipe Mountain Green	Tim & Fahed		TAH	Malachite	"Made during Mayerne course, april 2018"		"bright light green pigment, quite coarse"	28	0.5	"darkening not too much, turned into a beautiful green, a bit like the synthetic malachite (6B3)"	3	4	4	"needs a lot of oil & grinding, high resistance and remains very sticky when grinding"	2	3	2	1	2	5	"it was har to paint out and remained very gritty, so we added some more oil. It was more intense in colour than the synthetic malachite"	4	3	4	2	"mixing was easy, became more smooth and very light in colour"	"paint is now nice and smooth, not too hard to make a thin layer, but this layer remains very opaque as well"		painted May 22	Dry	"small dots that appear like ""orange peeling"" but not as much as 6B3. Some particles poking through smooth layer"			Y		
6B5	Azurite green (Mayerne recipe)	Tim & Fahed		TAH	Malachite	"Made during Mayerne course, april 2018"		"not green but light grey, quite coarse"	31		"stone grey, darkening when adding oil"	5	5	2	very coarse	2	3	2	2	2	4	"in spite of the grittiness not too hard to paint out, turned more greyish green when adding more oil"	2	2	4	1	went quickly and easy	"very smooth, easy to apply, hardly feel the grittiness anymore"		painted May 22	Dry	"Uneven gloss, looks patchy"			N		
6C1	copper resinate	12200	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/207/copper-resinate?number=12200	TAH (liquid)	Copper(II)-acetate-1-hydrate (C4H6CuO4 · H2O) is cooked with colophony in white spirit.	transparent copper green		"very viscous liquid  glue like substance, very sticky"	40	1.7	adding oil gives no change in colour and translucency. substance was already a liquid	1	4	5	"no muller needed for grinding, is already a solution, very sticky, needs a lot of oil, extremely stringy"	4	4	3	4	2	1	"supertranslucent, not gritty at all, brushstrokes well visible at application, dissapear within a minute. paint sticks to the brush, but still able to paint details"	5	5	1	2	mixing was very easy	"still feeling stiff/sticky, formation of tiny bubbles in the paint layer"			Dry	Very glossy smooth film		HSI	Y		
6C2	verdigris	Tim / Fahed / Karina		TAH	homemade april 2018	"Made by suspending copper strips over brown vinegar from the Albert Heijn, inside a glass jar"		very bright pigment	15	0.3	"compared to the pigment without oil, it changed rather rapidly to dark blueish green, while adding the oil, the colour changes from bright to dark, to bright turquoise."	2	3	5	"no grinding noise, normally you hear the pressure from the muller, but it does not make a sound."	5	4	5	2	2	4	pigment particles visible	5	5	1	2	"Looks like smurfs ice cream, slowly becoming less translucent and more green rather than turquois green, as well as a little less stringy"	higher covering power. more easy to apply than without the lead-white. Less brushstrokes visible and easier to paint out. So much more opaque.			Dry	Diffrences in gloss due do differencces in thickness			N		
6C3	verdigris	Abbie		TAH	homemade 2015	Made by suspending copper strips over vinegar inside a glass jar		very fine needles	14	0.3	very translucent colour very intense turquoise green 	1	2	3	not much oil was needed.no grinding noise during grinding	5	3	3	5	1	2	"extremely transparent and smooth, but a few particles are visible"	5	2	1	1	smurf ice cream look easy to mix but colour changed alot 	higher covering power a little more difficult to apply than without lead 			Dry	Smooth transluce glaze witha  few particles in it			Y		
6C4	verdigris [applied 11-12-20]	Indra Kneepkens		TAH	homemade by Indra Kneepkens		applied 11-12-20				turquoise colour																	higher covering power a little more difficult to apply than without lead becasue it wasnt as smooth							N		
7A1	1st layer: azurite 10200 (UvA) [applied 10-12-20] / azurite 102006 (Mh) 2nd layer: Lapis lazuli 10510 [applied 11-12-20 to UvA version]	"10510 / 10200, 10206"	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/61/lapis-lazuli-medium-quality?number=10510  https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/21/azurite-natural-standard?number=10200  https://www.kremer-pigmente.com/en/shop/pigments/10206-azurite-mp-light.html	"Test squares - Azurite - Kremer 10206 from Mh, Ultramarine - Kremer 45010 from Mh"	"natural ultramarine  Copper hydroxide carbonate, 2CuCO3 Cu(OH)2"	"lapis lazuli, medium quality, from Afghanistan azurite natural standard, 0 - 120 µ (UvA) azurite MP light (Mh)"	"Volume of azurite taken : 1mL, 10 drops of oil. Volume of ultramarine taken : 1mL = 0,5g, 15 drops of oil. Different types of azurite were used on the two different pigment checkers.  10200 (UvA) / 10206 (Mh).  The observations here are from the application to the Mh version: 10206."	Azurite is greenest/palest grade at Mh. Ultramarine is the standard one.			Azurite :Gritty texture. Color becomes much darker. Ultramarine : Color becomes much deep and very transparent.	Azurite: 3 ; Ultramarine: 5	Azurite: 2 ; Ultramarine: 4	Azurite: 1 ; Ultramarine: 2		Azurite: 5 ; Ultramarine: 3	Azurite: 4 ; Ultramarine: 4	Azurite: 2 - depends on thickness - doesnt stay where paint is thicker. Ultramarine: 2	Azurite: 3 ; Ultramarine: 1	Azurite: 2 ; Ultramarine: 1	Azurite: 5 ; Ultramarine: ?		Azurite: 5 ; Ultramarine: 5	Azurite: 5 ; Ultramarine: 5	4 - more visible in thinner area (after first layer). 		Extra oil added from Pb white tube. Paint became much thinner. Color became much more gray.	More opaque. Easier to apply. Doesnt spread out as much.		1	"First layer (azurite): After 6 days, it is completely dry in thinner areas and dry to the touch in thicker area but still soft and not dry on the inside. On 14/06/08: dry, but has imbibed dust"	"First layer: The mixture with lead white became less bright after drying. Azurite alone is glossier than azurite mix with lead white. In the thinner areas, we can clearly see underdrawing lines under azurite layer whereas it is more difficult to see them under the lead white mixture. Some big particles of azurite are visible with raking light. "		HSI 10562 / 10207	? / Y		
7A2	1st layer: vermillion 42000 2nd layer: madder lake 37202 [applied 10-12-20]	37202 / 37202	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/582/madder-lake-genuine?number=37202  https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/1372/vermilion?number=42000			"madder lake genuine, made from natural roots  vermilion, from China"																									Dry			HSI 37202 / 42000			
7A3	Girl with a Pearl Earring background (glaze only): Mix of indigo & weld (with chalk)				"top half 1:1, bottom half 1:4 (more chalk weld)"		"indigo from 3-C-1, Weld from 4-C-2"										4		1		1	top half ratio 1:1; bottom half ration 1:4 (more weld with chalk)									Dry but can be scratched						
7A4	Girl with a Pearl Earring background (glaze only): Mix of indigo & weld (with pot carb & alum)				"top half 1:1, bottom half 1:4 (more alum weld)"		"indigo from 3-C-1, Weld from 4-C-1?"										4		1		1	top half ratio 1:1; bottom half ration 1:4 (more weld with pot carb and alum) easy to apply									Dry but can be scratched						
7B1	Girl with a Pearl Earring background: Charcoal 47800; later mix of indigo 36002 & weld home-made with chalk	charcoal 47800 / (later: mixture of indigo and weld)		charcoal Kremer	"top half 1:1, bottom half 1:4 (more chalk weld) on top of black"	indigo: kremer 36002: weld home made chalk	7-A-3 green		for added amout of oils: similar to the previous use of the pigments in the pigment checker. 						colour is a nice emerald green 							top half ratio 1:1; bottom half ration 1:4 (more weld with chalk)									Rubbery	Glossy but somewhat patchy					
7B2	Girl with a Pearl Earring background: Charcoal 47800; later mix of indigo 36002 & weld home-made w/pot carb	charcoal 47800 / (later: mixture of indigo and weld)		charcoal Kremer	"top half 1:1, bottom half 1:4 (more alum weld) on top of black"	indigo: kremer 36002: weld home made potassium carbonate potash 	7-A-4 green		for added amout of oils: similar to the previous use of the pigments in the pigment checker. 													top half ratio 1:1; bottom half ratio 1:4 (more weld with pot carb and alum). difficult to apply a layer on top of the charcoal									Rubbery	Glossy but somewhat patchy					
7B3	1st layer: Lead white 1 from tube 2nd layer: madder lake 37202	Rublev lead white 1 from tube / 37202																																			
7B4	1st layer: Lead white 1 from tube	Rublev lead white 1 from tube																																			
7B6	1st layer: Mix of azurite 10200 and lead-tin yellow 2nd layer: verdigris homemade by Indra Kneepkens [applied 11-12-20]	10200 + LTY									"green, not very bright 'oasis' bloemschikken"	3			"latin yellow very easy to grind, azurite harder "	2	5	3	5	1	1	"easy to handle, nice colour "	1	1	4						Dry			HSI 10207 / 10100	Y / ?		
8A1	Avignon berries percipitated on chalk	Made during Mayerne course					"Mayerne recipe, Location on pigment checker board 4C4"	"Very pale pigment powder, quite fine"	19	0.7	"Greenish yellow, not very tanslucent"	3	3	3	Smoother than the weld	5	3	2	3	1	1	"Seems rather 'warm' on the glass plate, but not on the panel. texture is rather sticky."	1	4	1												
8B1	Avignon berries precipitated on potassium carbonate	Made during Mayerne course		TAH			"Mayerne recipe, location on pigment checker board 4C5"	"Golden yellow, rather fine, not many clumps"	20	0.7	"turns brown (milk chocolate) when adding oil, has the texture of molten chocolate that is cooling down"	2	1	2	"hard to apply pressure because of the smoothness, turns a little bit more yellow during grinding"	5	2	2	5	1	1	"paint is very smooth, little paint is needed to cover the square "	2	4	1										Y		
8C1	Weld (Pot. Carb + Kalium and Alum sulfate) 	Made during TAH Mayerne course		TAH			"Mayerne recipe, Location on pigment checker board: 4C1"	Very flaky	31	1.3	"Pigment rather brownish, but smudges are yellow"	1	3	1	"Very clumpy, takes a long time before it is mixed with the oil"	5	1	4	5	1	1		3	3	1												
8D1	Weld + chalk	Made during Mayerne course		TAH			"Mayerne recipe, Location on pigment checker board 4C2"	"Lots of chalk scales/flakes, coarse"	30	0.9	turns brown when adding oil	1	3	2	"was very brown, but turns more yellow during grinding. A very brownish/orange yellow (somewhat like apple syrup) "	5	3	2	4	1	2	"paint tends to flow to the sides, easy to paint with, little paint needed to colour the square in"															
8A2	lacca (from stick lac) fol. 							"flaky, looks similar to home made cohinil c3"	14	1.2	"translucent, obergine "	1	4	1	"takes a long time to grind, slow improvements "	4		4	4	1	1	"very easy to apply, no gritty ness very smooth surface"	4	2	1												
8A3	malachite Mayerne recipe Mountain Green (made by Tim & Fahed)	Tim & Fahed		TAH	Malachite	homemade april 2018		"bright light green pigment, quite coarse"	28	0.5	"darkening not too much, turned into a beautiful green, a bit like the synthetic malachite (6B3)"	3	4	4	"needs a lot of oil & grinding, high resistance and remains very sticky when grinding"	2	3	2	1	2	5	"it was har to paint out and remained very gritty, so we added some more oil. It was more intense in colour than the synthetic malachite"	4	3	4												
8A3	Azurite green (Mayerne recipe)	Tim & Fahed		TAH	Malachite	homemade april 2018		"not green but light grey, quite coarse"	31		"stone grey, darkening when adding oil"	5	5	2	very coarse	2	3	2	2	2	4	in spite of the grittiness not too hard to paint out	2	2	4										Y (1st grinding)		
8A4	Azurite ground with honey (Mayerne group4 Ellen &Laetitia)			TAH			"Homemade pigment from the Mayerne manuscript. There was not much pigment, so we used half the usual volume"	pastel blue colour. Fine powder	12	0.5	colour became much darker	3	2	2	"after 5 sec of grinding, you couldn't feel the particles anymore"	3	5	3	4	1	1	"when you make a brushstroke, ost of the paint remains at the beginning of the brushstroke"	4	4	3												
8A4	Azurite washed with lye 6th decantation (Mayerne group3 Laurens&Karina) 			TAH			Homemade pigment from the mayerne manuscript. 	"Dried into a hard clump. Colour more pale, and lighter than the other homemade azurite from the Mayerne manuscript (A4)"	20	0.8	colour is a lot more grey than the other homemade azurite from Mayerne manuscript (A4)	5	3	3	Compared to the other mayerne azurite (A4) very different in terms of colour and consistency	3	2	3	3	3	2	"very opaque, "	1	2	5												
8A6	Burnt sticklac 'as beautiful as Ivory black'	Made by TAH students		TAH		Burnt sticklac 		Extremely fine powder. Some lustre	15	0.4	"Brownish tint, fairly dull"	4	2	1	Doesn't need much oil. Makes a gritty sound like grinding glass/smalt	5	5	5	3	5	3	Agglomerations	3	1	4										Y		